FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     329.771ms        67.77%     329.771ms      32.977ms           0 b           0 b           0 b           0 b            10  
                                          ProfilerStep*         8.06%      44.900ms        78.77%     438.969ms      43.897ms       0.000us         0.00%     145.308ms      14.531ms           0 b     -15.01 Mb           0 b       1.97 Gb            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.07%     369.601us         0.96%       5.360ms     178.662us       0.000us         0.00%     129.717ms       4.324ms           0 b           0 b      -1.97 Gb      -2.66 Gb            30  
                                   ConvolutionBackward0         0.17%     931.170us         0.90%       4.990ms     166.342us       0.000us         0.00%     129.717ms       4.324ms           0 b           0 b     705.33 Mb           0 b            30  
                             aten::convolution_backward         0.34%       1.891ms         0.73%       4.059ms     135.303us     119.442ms        24.55%     129.717ms       4.324ms           0 b           0 b     705.33 Mb     480.00 Mb            30  
[pl][profile][Strategy]SingleDeviceStrategy.training...         1.48%       8.258ms         6.10%      33.985ms       3.399ms       0.000us         0.00%     107.793ms      10.779ms           0 b           0 b       3.84 Gb     -80.00 Kb            10  
[pl][module]torch.nn.modules.container.Sequential: m...         0.36%       2.030ms         2.30%      12.810ms       1.281ms       0.000us         0.00%     106.996ms      10.700ms           0 b           0 b       3.84 Gb      -2.20 Gb            10  
                        [pl][profile]run_training_batch         0.09%     521.112us        10.36%      57.735ms       5.774ms       0.000us         0.00%      97.113ms       9.711ms           0 b           0 b     393.01 Mb      -4.50 Kb            10  
[pl][profile][LightningModule]CIFAR10LightningModule...         0.05%     282.188us        10.26%      57.188ms       5.719ms       0.000us         0.00%      97.113ms       9.711ms           0 b           0 b     393.01 Mb           0 b            10  
                              Optimizer.step#AdamW.step         4.10%      22.830ms        10.21%      56.892ms       5.689ms       0.000us         0.00%      97.113ms       9.711ms           0 b           0 b     393.01 Mb      -3.45 Gb            10  
                                           aten::conv2d         0.01%      53.781us         0.56%       3.125ms     104.182us       0.000us         0.00%      62.714ms       2.090ms           0 b           0 b       2.19 Gb           0 b            30  
                                      aten::convolution         0.05%     255.239us         0.55%       3.072ms     102.389us       0.000us         0.00%      62.714ms       2.090ms           0 b           0 b       2.19 Gb           0 b            30  
                                     aten::_convolution         0.12%     659.122us         0.51%       2.816ms      93.881us       0.000us         0.00%      62.714ms       2.090ms           0 b           0 b       2.19 Gb           0 b            30  
                                aten::cudnn_convolution         0.18%       1.014ms         0.29%       1.598ms      53.259us      44.185ms         9.08%      44.185ms       1.473ms           0 b           0 b       2.19 Gb       2.19 Gb            30  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      44.146ms         9.07%      44.146ms     282.986us           0 b           0 b           0 b           0 b           156  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us      43.636ms         8.97%      43.636ms       1.983ms           0 b           0 b           0 b           0 b            22  
sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us      38.166ms         7.84%      38.166ms       1.659ms           0 b           0 b           0 b           0 b            23  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.390ms         6.45%      31.390ms     713.404us           0 b           0 b           0 b           0 b            44  
void at::native::(anonymous namespace)::multi_tensor...         0.00%       0.000us         0.00%       0.000us       0.000us      28.756ms         5.91%      28.756ms       1.307ms           0 b           0 b           0 b           0 b            22  
     autograd::engine::evaluate_function: ReluBackward0         0.04%     247.347us         0.20%       1.124ms      28.103us       0.000us         0.00%      28.538ms     713.445us           0 b           0 b      -2.20 Gb      -4.39 Gb            40  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 557.261ms
Self CUDA time total: 486.575ms
