FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      28.220ms       164.08%      28.220ms       2.822ms           0 b           0 b           0 b           0 b            10  
[pl][profile][Strategy]SingleDeviceStrategy.training...         0.00%       0.000us         0.00%       0.000us       0.000us      18.765ms       109.10%      18.765ms       1.876ms           0 b           0 b           0 b           0 b            10  
[pl][module]torchmetrics.classification.accuracy.Mul...         0.00%       0.000us         0.00%       0.000us       0.000us       9.952ms        57.86%       9.952ms     995.192us           0 b           0 b           0 b           0 b            10  
[pl][profile][Strategy]SingleDeviceStrategy.training...         4.11%       8.287ms        17.02%      34.296ms       3.430ms       0.000us         0.00%       5.234ms     523.431us           0 b           0 b     496.31 Mb     -80.00 Kb            10  
                        [pl][profile]run_training_batch         0.33%     672.614us        30.79%      62.029ms       6.203ms       0.000us         0.00%       4.711ms     471.120us           0 b           0 b      49.64 Mb      -4.50 Kb            10  
[pl][profile][LightningModule]CIFAR10LightningModule...         0.14%     280.235us        30.44%      61.331ms       6.133ms       0.000us         0.00%       4.711ms     471.120us           0 b           0 b      49.64 Mb           0 b            10  
                              Optimizer.step#AdamW.step        13.24%      26.667ms        30.29%      61.037ms       6.104ms       0.000us         0.00%       4.711ms     471.120us           0 b           0 b      49.64 Mb    -446.67 Mb            10  
[pl][module]torch.nn.modules.container.Sequential: m...         1.04%       2.088ms         6.30%      12.694ms       1.269ms       0.000us         0.00%       4.524ms     452.351us           0 b           0 b     496.30 Mb    -282.50 Mb            10  
autograd::engine::evaluate_function: ConvolutionBack...         0.17%     345.690us         1.83%       3.681ms     122.705us       0.000us         0.00%       4.426ms     147.546us           0 b           0 b    -280.19 Mb    -343.75 Mb            30  
                                   ConvolutionBackward0         0.04%      75.719us         1.66%       3.335ms     111.182us       0.000us         0.00%       4.426ms     147.546us           0 b           0 b      63.56 Mb           0 b            30  
                             aten::convolution_backward         0.65%       1.313ms         1.62%       3.260ms     108.658us       4.035ms        23.46%       4.426ms     147.546us           0 b           0 b      63.56 Mb      60.00 Mb            30  
                                          ProfilerStep*        21.66%      43.633ms        63.94%     128.831ms      12.883ms       0.000us         0.00%       3.883ms     388.252us           0 b     -15.01 Mb           0 b     387.87 Mb            10  
                                           aten::conv2d         0.02%      45.730us         1.38%       2.780ms      92.659us       0.000us         0.00%       3.065ms     102.174us           0 b           0 b     280.00 Mb           0 b            30  
                                      aten::convolution         0.14%     291.113us         1.36%       2.734ms      91.135us       0.000us         0.00%       3.065ms     102.174us           0 b           0 b     280.00 Mb           0 b            30  
                                     aten::_convolution         0.15%     302.641us         1.21%       2.443ms      81.431us       0.000us         0.00%       3.065ms     102.174us           0 b           0 b     280.00 Mb           0 b            30  
                                aten::cudnn_convolution         0.50%       1.009ms         0.79%       1.593ms      53.085us       2.589ms        15.05%       2.589ms      86.303us           0 b           0 b     280.00 Mb     280.00 Mb            30  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.13%     254.387us         0.61%       1.237ms      41.236us       0.000us         0.00%       2.323ms      77.443us           0 b           0 b      70.00 Mb    -210.00 Mb            30  
                          MaxPool2DWithIndicesBackward0         0.04%      71.997us         0.49%     982.687us      32.756us       0.000us         0.00%       2.323ms      77.443us           0 b           0 b     280.00 Mb           0 b            30  
                 aten::max_pool2d_with_indices_backward         0.16%     313.455us         0.45%     910.690us      30.356us       2.035ms        11.83%       2.323ms      77.443us           0 b           0 b     280.00 Mb     280.00 Mb            30  
void at::native::(anonymous namespace)::max_pool_bac...         0.00%       0.000us         0.00%       0.000us       0.000us       2.035ms        11.83%       2.035ms      67.839us           0 b           0 b           0 b           0 b            30  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 201.477ms
Self CUDA time total: 17.199ms
